Georges#Hayek#19#male#UA,
Elissa#Mrad#20#female#UA,Harry#Potter#17#male#HSWW
Elissa#Mrad#20#female#UA,Elie#Sfeir#18#male#UA
Elissa#Mrad#20#female#UA,Nagham#Tohme#18#female#UA
Elissa#Mrad#20#female#UA,Charbel#Rmeily#19#male#UA
Elissa#Mrad#20#female#UA,Fatima#Shalhoub#19#female#UA
William#Baakliny#19#male#UA,Nour#Salem#20#female#UA
Tonia#Akoury#18#female#UA,Harry#Potter#17#male#HSWW
Tonia#Akoury#18#female#UA,Lama#Achek#19#female#UA
Tonia#Akoury#18#female#UA,Mario#Fahel#18#male#UA
Tonia#Akoury#18#female#UA,Nour#Salem#20#female#UA
Tonia#Akoury#18#female#UA,Ghinwa#Kerdy#21#female#AUB
Tonia#Akoury#18#female#UA,Fatima#Shalhoub#19#female#UA
Tonia#Akoury#18#female#UA,Nagham#Tohme#18#female#UA
Nagham#Tohme#18#female#UA,Joseph#Sfeir#20#male#LU
Nagham#Tohme#18#female#UA,Mario#Fahel#18#male#UA
Nagham#Tohme#18#female#UA,Fatima#Shalhoub#19#female#UA
Nagham#Tohme#18#female#UA,Elie#Sfeir#18#male#UA
Nagham#Tohme#18#female#UA,Ahmad#Hassan#20#male#AUB
Nour#Salem#20#female#UA,Harry#Potter#17#male#HSWW
Nour#Salem#20#female#UA,Lama#Achek#19#female#UA
Nour#Salem#20#female#UA,Ghinwa#Kerdy#21#female#AUB
Nour#Salem#20#female#UA,Ahmad#Hassan#20#male#AUB
Charbel#Rmeily#19#male#UA,Ghinwa#Kerdy#21#female#AUB
Charbel#Rmeily#19#male#UA,Elie#Sfeir#18#male#UA
Charbel#Rmeily#19#male#UA,Fatima#Shalhoub#19#female#UA
Charbel#Rmeily#19#male#UA,Ahmad#Hassan#20#male#AUB
Harry#Potter#17#male#HSWW,Elie#Sfeir#18#male#UA
Harry#Potter#17#male#HSWW,Fatima#Shalhoub#19#female#UA
Harry#Potter#17#male#HSWW,Lama#Achek#19#female#UA
Harry#Potter#17#male#HSWW,Ahmad#Hassan#20#male#AUB
Harry#Potter#17#male#HSWW,Perla#Farhat#19#female#USJ
Ahmad#Hassan#20#male#AUB,Ghinwa#Kerdy#21#female#AUB
Ahmad#Hassan#20#male#AUB,Fatima#Shalhoub#19#female#UA
Ahmad#Hassan#20#male#AUB,Perla#Farhat#19#female#USJ
Ghinwa#Kerdy#21#female#AUB,Elie#Sfeir#18#male#UA
Ghinwa#Kerdy#21#female#AUB,Sara#Tannoury#17#female#UA
Ghinwa#Kerdy#21#female#AUB,Perla#Farhat#19#female#USJ
Perla#Farhat#19#female#USJ,Elie#Sfeir#18#male#UA
Lama#Achek#19#female#UA,Lynn#Shalhoub#15#female#AUB
Elie#Bader#22#male#USJ,Fatima#Shalhoub#19#female#UA
Elie#Bader#22#male#USJ,Aya#Fares#24#female#LAU
Elie#Bader#22#male#USJ,Lynn#Shalhoub#15#female#AUB
Ahmad#Taha#26#male#UA,Lynn#Shalhoub#15#female#AUB
James#John#25#male#LAU,Lynn#Shalhoub#15#female#AUB
Elie#Sfeir#18#male#UA,Safaa#Ahmad#18#female#LU
Elie#Sfeir#18#male#UA,Aya#Fares#24#female#LAU
Elie#Sfeir#18#male#UA,Mario#Fahel#18#male#UA
Elie#Sfeir#18#male#UA,Fatima#Shalhoub#19#female#UA
Elie#Sfeir#18#male#UA,Joseph#Sfeir#20#male#LU
Elie#Sfeir#18#male#UA,Lynn#Shalhoub#15#female#AUB
Mario#Fahel#18#male#UA,Lynn#Shalhoub#15#female#AUB
Joseph#Sfeir#20#male#LU,Lynn#Shalhoub#15#female#AUB
Joseph#Sfeir#20#male#LU,Nour#Daher#24#female#LAU
Safaa#Ahmad#18#female#LU,Nour#Daher#24#female#LAU
Lynn#Shalhoub#15#female#AUB,Nour#Daher#24#female#LAU
Aya#Fares#24#female#LAU,Fatima#Shalhoub#19#female#UA
Aya#Fares#24#female#LAU,Ahmad#Khatib#25#male#NDU
Fatima#Shalhoub#19#female#UA,Ali#Ahmad#23#male#LAU
Sara#Tannoury#17#female#UA,Ali#Ahmad#23#male#LAU
